analytic_containment_applicability,analytic_containment_passed,analytic_reference_contained,cold_total_configuration_time_s,compile_or_jit_time_s,completed_requested_horizon,completed_steps,device,dtype,engine_internal_time_s,evaluation_time,failure_category,first_step_time_s,h,measurement_phase,memory_measurement,memory_measurement_reason,memory_unavailable_reason,message,native_validation_passed,observation_source,peak_process_rss_kib,plot_report_time_s,posthoc_validation_time_s,repetition,requested_horizon,requested_steps,reset_discarded_term_count,runtime_boundary_version,steady_full_configuration_time_s,steady_step_time_s,steady_total_configuration_time_s,successful_horizon,system,tool,trajectory_sanity_passed,variant,width_at_evaluation_time
not_applicable,False,,0.0,0.0,True,100,cpu,float64,69.98010462656384,1.0,completed,0.7021491659688763,0.01,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,torch,unavailable,0.0,2.207991201430559e-06,7,1.0,100,600,total_configuration_v2,70.4708612037939,0.7030579590355046,70.4708612037939,1.0,van_der_pol,torch_tm_flowpipe,True,order4_affine_reset_selected,0.9112880761111946
not_applicable,False,,0.0,0.0,True,100,cpu,float64,70.2948583723628,1.0,completed,0.7014394999714568,0.01,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,torch,unavailable,0.0,2.6669586077332497e-06,8,1.0,100,600,total_configuration_v2,70.79468141798861,0.7024094170192257,70.79468141798861,1.0,van_der_pol,torch_tm_flowpipe,True,order4_affine_reset_selected,0.9112880761111946
not_applicable,False,,0.0,0.0,True,100,cpu,float64,70.13179870514432,1.0,completed,0.7004472090047784,0.01,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,torch,unavailable,0.0,8.500006515532732e-06,9,1.0,100,600,total_configuration_v2,70.62335066642845,0.7027952910284512,70.62335066642845,1.0,van_der_pol,torch_tm_flowpipe,True,order4_affine_reset_selected,0.9112880761111946
not_applicable,False,,0.0,0.0,True,100,cpu,float64,72.06190558214439,1.0,completed,0.69978500000434,0.01,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,torch,unavailable,0.0,3.459048457443714e-06,10,1.0,100,600,total_configuration_v2,72.5569254187285,0.7044747499749064,72.5569254187285,1.0,van_der_pol,torch_tm_flowpipe,True,order4_affine_reset_selected,0.9112880761111946
required,True,True,0.0014744590152986348,1.0562510839663446,True,100,cpu,float64,0.0013845409848727286,1.0,completed,,0.01,cold,unavailable,,configuration did not run in an isolated measurement subprocess,,True,diffreach,unavailable,0.0,8.541974239051342e-06,0,1.0,100,,total_configuration_v2,0.0014744590152986348,1.4744590152986348e-05,0.0014744590152986348,1.0,riccati,diffreach,True,restricted_quasi_window100_round5_selected,0.11389458226420779
required,True,True,0.0,0.0,True,100,cpu,float64,0.0013867089874111116,1.0,completed,,0.01,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,diffreach,unavailable,0.0,6.416987162083387e-06,1,1.0,100,,total_configuration_v2,0.0014523749705404043,1.4523749705404043e-05,0.0014523749705404043,1.0,riccati,diffreach,True,restricted_quasi_window100_round5_selected,0.11389458226420779
required,True,True,0.0,0.0,True,100,cpu,float64,0.001389874960295856,1.0,completed,,0.01,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,diffreach,unavailable,0.0,4.167028237134218e-06,2,1.0,100,,total_configuration_v2,0.0014482499682344496,1.4482499682344497e-05,0.0014482499682344496,1.0,riccati,diffreach,True,restricted_quasi_window100_round5_selected,0.11389458226420779
required,True,True,0.0,0.0,True,100,cpu,float64,0.0013708749902434647,1.0,completed,,0.01,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,diffreach,unavailable,0.0,3.167020622640848e-06,3,1.0,100,,total_configuration_v2,0.0014239579904824495,1.4239579904824495e-05,0.0014239579904824495,1.0,riccati,diffreach,True,restricted_quasi_window100_round5_selected,0.11389458226420779
required,True,True,0.0,0.0,True,100,cpu,float64,0.0013532500015571713,1.0,completed,,0.01,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,diffreach,unavailable,0.0,2.8329668566584587e-06,4,1.0,100,,total_configuration_v2,0.001407582953106612,1.407582953106612e-05,0.001407582953106612,1.0,riccati,diffreach,True,restricted_quasi_window100_round5_selected,0.11389458226420779
required,True,True,0.0,0.0,True,100,cpu,float64,0.0013577090576291084,1.0,completed,,0.01,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,diffreach,unavailable,0.0,2.667016815394163e-06,5,1.0,100,,total_configuration_v2,0.0014100410044193268,1.4100410044193268e-05,0.0014100410044193268,1.0,riccati,diffreach,True,restricted_quasi_window100_round5_selected,0.11389458226420779
required,True,True,0.0,0.0,True,100,cpu,float64,0.0013685409794561565,1.0,completed,,0.01,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,diffreach,unavailable,0.0,2.374988980591297e-06,6,1.0,100,,total_configuration_v2,0.0014190420042723417,1.4190420042723417e-05,0.0014190420042723417,1.0,riccati,diffreach,True,restricted_quasi_window100_round5_selected,0.11389458226420779
required,True,True,0.0,0.0,True,100,cpu,float64,0.0013687500031664968,1.0,completed,,0.01,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,diffreach,unavailable,0.0,7.041962817311287e-06,7,1.0,100,,total_configuration_v2,0.001450749987270683,1.4507499872706831e-05,0.001450749987270683,1.0,riccati,diffreach,True,restricted_quasi_window100_round5_selected,0.11389458226420779
required,True,True,0.0,0.0,True,100,cpu,float64,0.0014201249578036368,1.0,completed,,0.01,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,diffreach,unavailable,0.0,6.916990969330072e-06,8,1.0,100,,total_configuration_v2,0.0015067090280354023,1.5067090280354024e-05,0.0015067090280354023,1.0,riccati,diffreach,True,restricted_quasi_window100_round5_selected,0.11389458226420779
required,True,True,0.0,0.0,True,100,cpu,float64,0.0015179580077528954,1.0,completed,,0.01,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,diffreach,unavailable,0.0,8.124974556267262e-06,9,1.0,100,,total_configuration_v2,0.001631332968827337,1.631332968827337e-05,0.001631332968827337,1.0,riccati,diffreach,True,restricted_quasi_window100_round5_selected,0.11389458226420779
required,True,True,0.0,0.0,True,100,cpu,float64,0.0014212920214049518,1.0,completed,,0.01,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,diffreach,unavailable,0.0,4.957953933626413e-06,10,1.0,100,,total_configuration_v2,0.001487958012148738,1.4879580121487379e-05,0.001487958012148738,1.0,riccati,diffreach,True,restricted_quasi_window100_round5_selected,0.11389458226420779
required,True,True,0.01121312502073124,1.7474190829670988,True,400,cpu,float64,0.01105462503619492,4.0,completed,,0.01,cold,unavailable,,configuration did not run in an isolated measurement subprocess,,True,diffreach,unavailable,0.0,1.7833022866398096e-05,0,4.0,400,,total_configuration_v2,0.01121312502073124,2.80328125518281e-05,0.01121312502073124,4.0,harmonic,diffreach,True,restricted_quasi_window100_round5_selected,0.3031861786118209
required,True,True,0.0,0.0,True,400,cpu,float64,0.011056624993216246,4.0,completed,,0.01,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,diffreach,unavailable,0.0,8.666946087032557e-06,1,4.0,400,,total_configuration_v2,0.011128708021715283,2.7821770054288208e-05,0.011128708021715283,4.0,harmonic,diffreach,True,restricted_quasi_window100_round5_selected,0.3031861786118209
required,True,True,0.0,0.0,True,400,cpu,float64,0.01113145798444748,4.0,completed,,0.01,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,diffreach,unavailable,0.0,1.066701952368021e-05,2,4.0,400,,total_configuration_v2,0.011222707980778068,2.805676995194517e-05,0.011222707980778068,4.0,harmonic,diffreach,True,restricted_quasi_window100_round5_selected,0.3031861786118209
required,True,True,0.0,0.0,True,400,cpu,float64,0.01096487499307841,4.0,completed,,0.01,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,diffreach,unavailable,0.0,1.0457995813339949e-05,3,4.0,400,,total_configuration_v2,0.011052458023186773,2.7631145057966934e-05,0.011052458023186773,4.0,harmonic,diffreach,True,restricted_quasi_window100_round5_selected,0.3031861786118209
required,True,True,0.0,0.0,True,400,cpu,float64,0.011013332987204194,4.0,completed,,0.01,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,diffreach,unavailable,0.0,7.207971066236496e-06,4,4.0,400,,total_configuration_v2,0.011084249999839813,2.771062499959953e-05,0.011084249999839813,4.0,harmonic,diffreach,True,restricted_quasi_window100_round5_selected,0.3031861786118209
required,True,True,0.0,0.0,True,400,cpu,float64,0.011084875033702701,4.0,completed,,0.01,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,diffreach,unavailable,0.0,6.500049494206905e-06,5,4.0,400,,total_configuration_v2,0.011155999964103103,2.7889999910257756e-05,0.011155999964103103,4.0,harmonic,diffreach,True,restricted_quasi_window100_round5_selected,0.3031861786118209
required,True,True,0.0,0.0,True,400,cpu,float64,0.010895083018112928,4.0,completed,,0.01,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,diffreach,unavailable,0.0,8.083006832748652e-06,6,4.0,400,,total_configuration_v2,0.010965374996885657,2.7413437492214144e-05,0.010965374996885657,4.0,harmonic,diffreach,True,restricted_quasi_window100_round5_selected,0.3031861786118209
required,True,True,0.0,0.0,True,400,cpu,float64,0.011017083015758544,4.0,completed,,0.01,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,diffreach,unavailable,0.0,6.459013093262911e-06,7,4.0,400,,total_configuration_v2,0.011085041973274201,2.7712604933185502e-05,0.011085041973274201,4.0,harmonic,diffreach,True,restricted_quasi_window100_round5_selected,0.3031861786118209
required,True,True,0.0,0.0,True,400,cpu,float64,0.011019625002518296,4.0,completed,,0.01,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,diffreach,unavailable,0.0,6.749993190169334e-06,8,4.0,400,,total_configuration_v2,0.011089875013567507,2.772468753391877e-05,0.011089875013567507,4.0,harmonic,diffreach,True,restricted_quasi_window100_round5_selected,0.3031861786118209
required,True,True,0.0,0.0,True,400,cpu,float64,0.010870750003959984,4.0,completed,,0.01,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,diffreach,unavailable,0.0,6.709014996886253e-06,9,4.0,400,,total_configuration_v2,0.010941832966636866,2.7354582416592167e-05,0.010941832966636866,4.0,harmonic,diffreach,True,restricted_quasi_window100_round5_selected,0.3031861786118209
required,True,True,0.0,0.0,True,400,cpu,float64,0.012636832951102406,4.0,completed,,0.01,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,diffreach,unavailable,0.0,1.4999997802078724e-05,10,4.0,400,,total_configuration_v2,0.012782582954969257,3.195645738742314e-05,0.012782582954969257,4.0,harmonic,diffreach,True,restricted_quasi_window100_round5_selected,0.3031861786118209
not_applicable,False,,0.0022701669950038195,4.041927999991458,True,50,cpu,float64,0.0021109580411575735,0.25,completed,,0.005,cold,unavailable,,configuration did not run in an isolated measurement subprocess,,True,diffreach,unavailable,0.0,2.415967173874378e-06,0,0.25,50,,total_configuration_v2,0.0022701669950038195,4.5403339900076386e-05,0.0022701669950038195,0.25,coupled_quadratic,diffreach,True,restricted_quasi_window100_round5_selected,0.0429775920432517
not_applicable,False,,0.0,0.0,True,50,cpu,float64,0.0020832919981330633,0.25,completed,,0.005,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,diffreach,unavailable,0.0,1.9170111045241356e-06,1,0.25,50,,total_configuration_v2,0.002163708966691047,4.327417933382094e-05,0.002163708966691047,0.25,coupled_quadratic,diffreach,True,restricted_quasi_window100_round5_selected,0.0429775920432517
not_applicable,False,,0.0,0.0,True,50,cpu,float64,0.0021027090260758996,0.25,completed,,0.005,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,diffreach,unavailable,0.0,1.834006980061531e-06,2,0.25,50,,total_configuration_v2,0.002184417040552944,4.368834081105888e-05,0.002184417040552944,0.25,coupled_quadratic,diffreach,True,restricted_quasi_window100_round5_selected,0.0429775920432517
not_applicable,False,,0.0,0.0,True,50,cpu,float64,0.0021368329762481153,0.25,completed,,0.005,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,diffreach,unavailable,0.0,1.125037670135498e-06,3,0.25,50,,total_configuration_v2,0.0022130420547910035,4.426084109582007e-05,0.0022130420547910035,0.25,coupled_quadratic,diffreach,True,restricted_quasi_window100_round5_selected,0.0429775920432517
not_applicable,False,,0.0,0.0,True,50,cpu,float64,0.002145166974514723,0.25,completed,,0.005,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,diffreach,unavailable,0.0,9.579816833138466e-07,4,0.25,50,,total_configuration_v2,0.00223258399637416,4.46516799274832e-05,0.00223258399637416,0.25,coupled_quadratic,diffreach,True,restricted_quasi_window100_round5_selected,0.0429775920432517
not_applicable,False,,0.0,0.0,True,50,cpu,float64,0.0020850420114584267,0.25,completed,,0.005,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,diffreach,unavailable,0.0,1.2909877113997936e-06,5,0.25,50,,total_configuration_v2,0.002177625021431595,4.35525004286319e-05,0.002177625021431595,0.25,coupled_quadratic,diffreach,True,restricted_quasi_window100_round5_selected,0.0429775920432517
not_applicable,False,,0.0,0.0,True,50,cpu,float64,0.0021125839557498693,0.25,completed,,0.005,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,diffreach,unavailable,0.0,9.579816833138466e-07,6,0.25,50,,total_configuration_v2,0.002196999965235591,4.3939999304711815e-05,0.002196999965235591,0.25,coupled_quadratic,diffreach,True,restricted_quasi_window100_round5_selected,0.0429775920432517
not_applicable,False,,0.0,0.0,True,50,cpu,float64,0.0021557919681072235,0.25,completed,,0.005,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,diffreach,unavailable,0.0,7.919734343886375e-07,7,0.25,50,,total_configuration_v2,0.002263917005620897,4.5278340112417934e-05,0.002263917005620897,0.25,coupled_quadratic,diffreach,True,restricted_quasi_window100_round5_selected,0.0429775920432517
not_applicable,False,,0.0,0.0,True,50,cpu,float64,0.002090000023599714,0.25,completed,,0.005,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,diffreach,unavailable,0.0,1.2909877113997936e-06,8,0.25,50,,total_configuration_v2,0.0021911660442128778,4.382332088425756e-05,0.0021911660442128778,0.25,coupled_quadratic,diffreach,True,restricted_quasi_window100_round5_selected,0.0429775920432517
not_applicable,False,,0.0,0.0,True,50,cpu,float64,0.0021338750375434756,0.25,completed,,0.005,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,diffreach,unavailable,0.0,7.92031642049551e-07,9,0.25,50,,total_configuration_v2,0.0021945000044070184,4.3890000088140366e-05,0.0021945000044070184,0.25,coupled_quadratic,diffreach,True,restricted_quasi_window100_round5_selected,0.0429775920432517
not_applicable,False,,0.0,0.0,True,50,cpu,float64,0.0021103330072946846,0.25,completed,,0.005,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,diffreach,unavailable,0.0,7.500057108700275e-07,10,0.25,50,,total_configuration_v2,0.002194875036366284,4.3897500727325675e-05,0.002194875036366284,0.25,coupled_quadratic,diffreach,True,restricted_quasi_window100_round5_selected,0.0429775920432517
not_applicable,False,,0.0014267920050770044,3.9733330419985577,True,25,cpu,float64,0.001253083988558501,0.25,completed,,0.01,cold,unavailable,,configuration did not run in an isolated measurement subprocess,,True,diffreach,unavailable,0.0,2.749962732195854e-06,0,0.25,25,,total_configuration_v2,0.0014267920050770044,5.707168020308018e-05,0.0014267920050770044,0.25,coupled_quadratic,diffreach,True,restricted_quasi_window100_round5_selected,0.04298894317792923
not_applicable,False,,0.0,0.0,True,25,cpu,float64,0.0011778749758377671,0.25,completed,,0.01,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,diffreach,unavailable,0.0,1.9170111045241356e-06,1,0.25,25,,total_configuration_v2,0.0012808750034309924,5.123500013723969e-05,0.0012808750034309924,0.25,coupled_quadratic,diffreach,True,restricted_quasi_window100_round5_selected,0.04298894317792923
not_applicable,False,,0.0,0.0,True,25,cpu,float64,0.0012523329933173954,0.25,completed,,0.01,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,diffreach,unavailable,0.0,1.2909877113997936e-06,2,0.25,25,,total_configuration_v2,0.0013279169797897339,5.3116679191589354e-05,0.0013279169797897339,0.25,coupled_quadratic,diffreach,True,restricted_quasi_window100_round5_selected,0.04298894317792923
not_applicable,False,,0.0,0.0,True,25,cpu,float64,0.0011550000053830445,0.25,completed,,0.01,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,diffreach,unavailable,0.0,1.7500133253633976e-06,3,0.25,25,,total_configuration_v2,0.001232124981470406,4.928499925881624e-05,0.001232124981470406,0.25,coupled_quadratic,diffreach,True,restricted_quasi_window100_round5_selected,0.04298894317792923
not_applicable,False,,0.0,0.0,True,25,cpu,float64,0.0011742910137400031,0.25,completed,,0.01,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,diffreach,unavailable,0.0,1.00000761449337e-06,4,0.25,25,,total_configuration_v2,0.0012429580092430115,4.971832036972046e-05,0.0012429580092430115,0.25,coupled_quadratic,diffreach,True,restricted_quasi_window100_round5_selected,0.04298894317792923
not_applicable,False,,0.0,0.0,True,25,cpu,float64,0.0011884169653058052,0.25,completed,,0.01,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,diffreach,unavailable,0.0,1.166015863418579e-06,5,0.25,25,,total_configuration_v2,0.0012541249743662775,5.01649989746511e-05,0.0012541249743662775,0.25,coupled_quadratic,diffreach,True,restricted_quasi_window100_round5_selected,0.04298894317792923
not_applicable,False,,0.0,0.0,True,25,cpu,float64,0.0011955839581787586,0.25,completed,,0.01,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,diffreach,unavailable,0.0,1.2080417945981026e-06,6,0.25,25,,total_configuration_v2,0.0012609590194188058,5.043836077675223e-05,0.0012609590194188058,0.25,coupled_quadratic,diffreach,True,restricted_quasi_window100_round5_selected,0.04298894317792923
not_applicable,False,,0.0,0.0,True,25,cpu,float64,0.0011701249750331044,0.25,completed,,0.01,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,diffreach,unavailable,0.0,1.00000761449337e-06,7,0.25,25,,total_configuration_v2,0.001247250009328127,4.989000037312508e-05,0.001247250009328127,0.25,coupled_quadratic,diffreach,True,restricted_quasi_window100_round5_selected,0.04298894317792923
not_applicable,False,,0.0,0.0,True,25,cpu,float64,0.001166542002465576,0.25,completed,,0.01,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,diffreach,unavailable,0.0,8.330098353326321e-07,8,0.25,25,,total_configuration_v2,0.0012400419800542295,4.960167920216918e-05,0.0012400419800542295,0.25,coupled_quadratic,diffreach,True,restricted_quasi_window100_round5_selected,0.04298894317792923
not_applicable,False,,0.0,0.0,True,25,cpu,float64,0.0011544580338522792,0.25,completed,,0.01,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,diffreach,unavailable,0.0,7.500057108700275e-07,9,0.25,25,,total_configuration_v2,0.0012272500316612422,4.909000126644969e-05,0.0012272500316612422,0.25,coupled_quadratic,diffreach,True,restricted_quasi_window100_round5_selected,0.04298894317792923
not_applicable,False,,0.0,0.0,True,25,cpu,float64,0.0011562500149011612,0.25,completed,,0.01,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,diffreach,unavailable,0.0,7.500057108700275e-07,10,0.25,25,,total_configuration_v2,0.0012267919955775142,4.907167982310057e-05,0.0012267919955775142,0.25,coupled_quadratic,diffreach,True,restricted_quasi_window100_round5_selected,0.04298894317792923
not_applicable,False,,0.008855916967149824,4.123746500001289,True,200,cpu,float64,0.008698166988324374,1.0,completed,,0.005,cold,unavailable,,configuration did not run in an isolated measurement subprocess,,True,diffreach,unavailable,0.0,2.667016815394163e-06,0,1.0,200,,total_configuration_v2,0.008855916967149824,4.427958483574912e-05,0.008855916967149824,1.0,van_der_pol,diffreach,True,restricted_quasi_window100_round5_selected,0.14064663658680115
not_applicable,False,,0.0,0.0,True,200,cpu,float64,0.008619458007160574,1.0,completed,,0.005,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,diffreach,unavailable,0.0,2.4589826352894306e-06,1,1.0,200,,total_configuration_v2,0.008724624989554286,4.362312494777143e-05,0.008724624989554286,1.0,van_der_pol,diffreach,True,restricted_quasi_window100_round5_selected,0.14064663658680115
not_applicable,False,,0.0,0.0,True,200,cpu,float64,0.008281041984446347,1.0,completed,,0.005,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,diffreach,unavailable,0.0,2.00001522898674e-06,2,1.0,200,,total_configuration_v2,0.008373666962143034,4.186833481071517e-05,0.008373666962143034,1.0,van_der_pol,diffreach,True,restricted_quasi_window100_round5_selected,0.14064663658680115
not_applicable,False,,0.0,0.0,True,200,cpu,float64,0.008453583053778857,1.0,completed,,0.005,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,diffreach,unavailable,0.0,1.4170072972774506e-06,3,1.0,200,,total_configuration_v2,0.008524083998054266,4.262041999027133e-05,0.008524083998054266,1.0,van_der_pol,diffreach,True,restricted_quasi_window100_round5_selected,0.14064663658680115
not_applicable,False,,0.0,0.0,True,200,cpu,float64,0.008470375032629818,1.0,completed,,0.005,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,diffreach,unavailable,0.0,1.292035449296236e-06,4,1.0,200,,total_configuration_v2,0.008553208026569337,4.276604013284668e-05,0.008553208026569337,1.0,van_der_pol,diffreach,True,restricted_quasi_window100_round5_selected,0.14064663658680115
not_applicable,False,,0.0,0.0,True,200,cpu,float64,0.008473833033349365,1.0,completed,,0.005,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,diffreach,unavailable,0.0,1.6249832697212696e-06,5,1.0,200,,total_configuration_v2,0.008560667047277093,4.280333523638546e-05,0.008560667047277093,1.0,van_der_pol,diffreach,True,restricted_quasi_window100_round5_selected,0.14064663658680115
not_applicable,False,,0.0,0.0,True,200,cpu,float64,0.008221708005294204,1.0,completed,,0.005,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,diffreach,unavailable,0.0,1.125037670135498e-06,6,1.0,200,,total_configuration_v2,0.008292416983749717,4.1462084918748584e-05,0.008292416983749717,1.0,van_der_pol,diffreach,True,restricted_quasi_window100_round5_selected,0.14064663658680115
not_applicable,False,,0.0,0.0,True,200,cpu,float64,0.008427832974120975,1.0,completed,,0.005,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,diffreach,unavailable,0.0,9.579816833138466e-07,7,1.0,200,,total_configuration_v2,0.00850750005338341,4.253750026691705e-05,0.00850750005338341,1.0,van_der_pol,diffreach,True,restricted_quasi_window100_round5_selected,0.14064663658680115
not_applicable,False,,0.0,0.0,True,200,cpu,float64,0.008490166976116598,1.0,completed,,0.005,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,diffreach,unavailable,0.0,8.33999365568161e-07,8,1.0,200,,total_configuration_v2,0.008590582991018891,4.2952914955094455e-05,0.008590582991018891,1.0,van_der_pol,diffreach,True,restricted_quasi_window100_round5_selected,0.14064663658680115
not_applicable,False,,0.0,0.0,True,200,cpu,float64,0.008925875008571893,1.0,completed,,0.005,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,diffreach,unavailable,0.0,3.374996595084667e-06,9,1.0,200,,total_configuration_v2,0.009053417015820742,4.526708507910371e-05,0.009053417015820742,1.0,van_der_pol,diffreach,True,restricted_quasi_window100_round5_selected,0.14064663658680115
not_applicable,False,,0.0,0.0,True,200,cpu,float64,0.008431916998233646,1.0,completed,,0.005,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,diffreach,unavailable,0.0,1.167005393654108e-06,10,1.0,200,,total_configuration_v2,0.008510249957907945,4.2551249789539726e-05,0.008510249957907945,1.0,van_der_pol,diffreach,True,restricted_quasi_window100_round5_selected,0.14064663658680115
not_applicable,False,,0.004642750020138919,4.209474542003591,True,100,cpu,float64,0.004474666027817875,1.0,completed,,0.01,cold,unavailable,,configuration did not run in an isolated measurement subprocess,,True,diffreach,unavailable,0.0,3.2500247471034527e-06,0,1.0,100,,total_configuration_v2,0.004642750020138919,4.6427500201389194e-05,0.004642750020138919,1.0,van_der_pol,diffreach,True,restricted_quasi_window100_round5_selected,0.15133241787615204
not_applicable,False,,0.0,0.0,True,100,cpu,float64,0.0048100409912876785,1.0,completed,,0.01,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,diffreach,unavailable,0.0,1.8330174498260021e-06,1,1.0,100,,total_configuration_v2,0.004913249984383583,4.913249984383583e-05,0.004913249984383583,1.0,van_der_pol,diffreach,True,restricted_quasi_window100_round5_selected,0.15133241787615204
not_applicable,False,,0.0,0.0,True,100,cpu,float64,0.0044918329804204404,1.0,completed,,0.01,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,diffreach,unavailable,0.0,1.2919772416353226e-06,2,1.0,100,,total_configuration_v2,0.004604667017702013,4.6046670177020134e-05,0.004604667017702013,1.0,van_der_pol,diffreach,True,restricted_quasi_window100_round5_selected,0.15133241787615204
not_applicable,False,,0.0,0.0,True,100,cpu,float64,0.004275624989531934,1.0,completed,,0.01,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,diffreach,unavailable,0.0,9.5803989097476e-07,3,1.0,100,,total_configuration_v2,0.004376334021799266,4.376334021799266e-05,0.004376334021799266,1.0,van_der_pol,diffreach,True,restricted_quasi_window100_round5_selected,0.15133241787615204
not_applicable,False,,0.0,0.0,True,100,cpu,float64,0.004365792032331228,1.0,completed,,0.01,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,diffreach,unavailable,0.0,1.9579892978072166e-06,4,1.0,100,,total_configuration_v2,0.004448249994311482,4.448249994311482e-05,0.004448249994311482,1.0,van_der_pol,diffreach,True,restricted_quasi_window100_round5_selected,0.15133241787615204
not_applicable,False,,0.0,0.0,True,100,cpu,float64,0.004478624963667244,1.0,completed,,0.01,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,diffreach,unavailable,0.0,2.00001522898674e-06,5,1.0,100,,total_configuration_v2,0.004556542029604316,4.5565420296043155e-05,0.004556542029604316,1.0,van_der_pol,diffreach,True,restricted_quasi_window100_round5_selected,0.15133241787615204
not_applicable,False,,0.0,0.0,True,100,cpu,float64,0.004415125004015863,1.0,completed,,0.01,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,diffreach,unavailable,0.0,1.207983586937189e-06,6,1.0,100,,total_configuration_v2,0.004492584033869207,4.492584033869207e-05,0.004492584033869207,1.0,van_der_pol,diffreach,True,restricted_quasi_window100_round5_selected,0.15133241787615204
not_applicable,False,,0.0,0.0,True,100,cpu,float64,0.004473874985706061,1.0,completed,,0.01,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,diffreach,unavailable,0.0,9.170034900307655e-07,7,1.0,100,,total_configuration_v2,0.004537541011814028,4.537541011814028e-05,0.004537541011814028,1.0,van_der_pol,diffreach,True,restricted_quasi_window100_round5_selected,0.15133241787615204
not_applicable,False,,0.0,0.0,True,100,cpu,float64,0.004739957978017628,1.0,completed,,0.01,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,diffreach,unavailable,0.0,1.2500095181167126e-06,8,1.0,100,,total_configuration_v2,0.0048314169980585575,4.8314169980585575e-05,0.0048314169980585575,1.0,van_der_pol,diffreach,True,restricted_quasi_window100_round5_selected,0.15133241787615204
not_applicable,False,,0.0,0.0,True,100,cpu,float64,0.004423042002599686,1.0,completed,,0.01,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,diffreach,unavailable,0.0,1.0830117389559746e-06,9,1.0,100,,total_configuration_v2,0.0045204999623820186,4.5204999623820185e-05,0.0045204999623820186,1.0,van_der_pol,diffreach,True,restricted_quasi_window100_round5_selected,0.15133241787615204
